Product Number,TEXT,isP_bin,1RE_val,2RE_val,G_val,A_val
9B14M163,,1,WHITE,NORTH AMERICA,MAN,
9B21A022,,1,WHITE,NORTH AMERICA,MAN,
9B21B013,,1,BROWN,SOUTHERN ASIA,MAN,
9B21D012,,1,,UNKNOWN,WOMAN,
9B21M062,,0,,,,
9B21N006,,1,,UNKNOWN,MAN,
9B21B012,,0,,,,
9B21C019,,1,WHITE,NORTH AMERICA,MAN,
9B21M070,,1,WHITE,SOUTHERN AFRICA,WOMAN,
9B21A020,,1,BROWN,UNKNOWN,WOMAN,
9B21D010,,1,,,MAN,
9B21M068,,0,,,,
9B21A023,,1,,NORTH AMERICA,WOMAN,
9B21C028,,1,BROWN,SOUTHERN ASIA,MAN,
9B21M064,,1,ASIAN,EASTERN ASIA,MAN,
9B21M066,,0,,,,
9B21C020,,1,WHITE,UNKNOWN,WOMAN,24
9B21M063,,1,WHITE,NORTH AMERICA,MAN,
9B10NF028,,1,WHITE,AMERICAS,MAN,
9B21A019,,1,BROWN,SOUTHERN ASIA,MAN,
9B21EC012,,1,ASIAN,ASIA,MAN,
9B21A018,,0,,,,
9B21D009,,1,ASIAN,EASTERN ASIA,MAN,
9B21C026,,1,BLACK,WESTERN AFRICA,MAN,
9B21M061,,1,ASIAN,EASTERN ASIA,MAN,
9B21M055,,1,INDIGENOUS,NORTH AMERICA,WOMAN,
9B21M058,,1,WHITE,NORTH AMERICA,WOMAN,
9B21N003,,1,BROWN,SOUTHERN ASIA,MAN,
9B21A006,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M059,,1,ASIAN,EASTERN ASIA,,
9B21M045,,1,BROWN,SOUTHERN ASIA,MAN,
9B21D008,,1,BROWN,SOUTHERN ASIA,MAN,
9B21C018,,1,WHITE,NORTH AMERICA,MAN,
9B21M060,,0,,,,
9B21A016,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B21C012,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B21E011,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M053,,1,BROWN,SOUTHERN ASIA,MAN,
9B21B011,,1,WHITE,NORTH AMERICA,MAN,
9B21C017,,1,WHITE,NORTH AMERICA,WOMAN,
9B21C016,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M057,,1,WHITE,NORTH AMERICA,MAN,
9B21A017,,1,WHITE,NORTH AMERICA,WOMAN,
9B21E009,,1,WHITE,NORTH AMERICA,WOMAN,
9B21E010,,1,ASIAN,EASTERN ASIA,MAN,
9B21M052,,1,BROWN,SOUTHERN ASIA,MAN,
9B21M056,,0,,,,
9B21A011,,1,BROWN,SOUTHERN ASIA,MAN,
9B21A015,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B21M041,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B21A014,,1,WHITE,NORTH AMERICA,MAN,
9B21M054,,1,BROWN,SOUTHERN ASIA,MAN,
9B21M046,,0,,,,
9B21M048,,1,WHITE,WESTERN EUROPE,MAN,
9B21M050,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M042,,,,,,
9B21B010,,1,WHITE,NORTH AMERICA,WOMAN,
9B21D007,,1,ASIAN,EASTERN ASIA,MAN,
9B21M051,,1,WHITE,SOUTHERN AFRICA,MAN,
9B21M038,,1,BROWN,SOUTHERN ASIA,MAN,
9B21M044,,0,,,,
9B21A013,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B21M043,,1,WHITE,NORTH AMERICA,MAN,
9B21M040,,0,,,,
9B21D005,,1,ASIAN,EASTERN ASIA,MAN,
9B21M047,,1,BROWN,SOUTHERN ASIA,MAN,
9B21B008,,1,WHITE,NORTH AMERICA,WOMAN,
9B21D006,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M035,,1,BLACK,WESTERN AFRICA,MAN,
9B21A012,,1,BROWN,NORTH AMERICA,WOMAN,
9B21M039,,1,ASIAN,NORTH AMERICA,MAN,
9B21B009,,0,,,,
9B21A009,,1,ASIAN,SOUTHERN ASIA,MAN,
9B21C013,,1,WHITE,NORTH AMERICA,WOMAN,
9B21C015,,1,WHITE,SOUTHERN AFRICA,MAN,
9B21M027,,1,ASIAN,EASTERN ASIA,MAN,
9B21M034,,1,WHITE,NORTH AMERICA,WOMAN,
9B20N037,,1,,,MAN,
9B21M031,,0,,,,
9B21M036,,0,,,,
9B21M026,,1,WHITE,NORTH AMERICA,WOMAN,
9B21M029,,1,ASIAN,EASTERN ASIA,MAN,
9B21M030,,1,,,MAN,
9B21A008,,1,BROWN,SOUTHERN ASIA,MAN,26
9B21B007,,1,WHITE,NORTH AMERICA,MAN,
9B21M032,,1,BROWN,SOUTHERN ASIA,MAN,
9B21M017,,1,ASIAN,EASTERN ASIA,MAN,
9B21M033,,1,WHITE,NORTH AMERICA,MAN,
9B21C010,,1,WHITE,NORTH AMERICA,WOMAN,
9B21C011,,0,,,,
9B21B006,,1,,,WOMAN,
9B21M025,,1,WHITE,AUSTRALIA AND NEW ZEALAND,MAN,39
9B21M028,,1,WHITE,UNKNOWN,MAN,
9B21C008,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B21E008,,1,WHITE,NORTH AMERICA,MAN,
9B21M020,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B21M021,,1,WHITE,NORTH AMERICA,WOMAN,34
9B21M022,,1,WHITE,SOUTH AMERICA,MAN,
9B21M016,,1,WHITE,WESTERN EUROPE,MAN,
9B21B002,,1,WHITE,NORTH AMERICA,WOMAN,
9B21E004,,0,,,,
9B21B005,,1,,UNKNOWN,WOMAN,
9B21B004,,1,WHITE,NORTH AMERICA,MAN,
9B21C005,,1,WHITE,NORTH AMERICA,WOMAN,
9B21C006,,1,WHITE,NORTH AMERICA,MAN,
9B21C007,,1,WHITE,NORTH AMERICA,MAN,
9B21E007,,1,ASIAN,EASTERN ASIA,MAN,
9B21M019,,1,WHITE,AUSTRALIA AND NEW ZEALAND,WOMAN,
9B21B001,,1,,NORTH AMERICA,MAN,
9B21M023,,1,WHITE,NORTHERN EUROPE,WOMAN,
9B21C004,,1,WHITE,NORTH AMERICA,MAN,
9B21B003,,1,WHITE,WESTERN EUROPE,WOMAN,
9B21E003,,1,BROWN,SOUTHERN ASIA,MAN,
9B21E006,,1,ASIAN,EASTERN ASIA,MAN,
9B21E005,,0,,,,
